type,name,count,density,num_components,largest_component_diameter,transitivity
node,Total,19734,,,,
node,Proteins,19089,,,,
node,Drugs,645,,,,
edge,Total,6219868,0.002478001857497821,,,
edge,ProteinProteinInteraction,1431224,0.003927932409254976,16,11,0.21140695562863515
edge,DrugTarget,37380,0.0030359625109797803,15814,9,
edge,C1096328,4,1.925947325340652e-05,645,0,0.0
edge,C0162830,77,0.0003707448601280755,645,0,0.0
edge,C1611725,4,1.925947325340652e-05,645,0,0.0
edge,C0541767,11,5.296355144686793e-05,645,0,0.0
edge,C0242973,2,9.62973662670326e-06,645,0,0.0
edge,C1167962,7,3.370407819346141e-05,645,0,0.0
edge,C0042023,267,0.0012855698396648852,645,0,0.0
edge,C0948183,15,7.222302470027445e-05,645,0,0.0
edge,C0744403,98,0.0004718570947084597,645,0,0.0
edge,C0748390,43,0.00020703933747412008,645,0,0.0
edge,C0729847,30,0.0001444460494005489,645,0,0.0
edge,C1096135,119,0.0005729693292888439,645,0,0.0
edge,C0340861,98,0.0004718570947084597,645,0,0.0
edge,C1262018,38,0.00018296499590736193,645,0,0.0
edge,C0036982,62,0.00029852183542780105,645,0,0.0
edge,C1698400,10,4.81486831335163e-05,645,0,0.0
edge,C1141948,118,0.0005681544609754923,645,0,0.0
edge,C0038565,7,3.370407819346141e-05,645,0,0.0
edge,C0271051,9,4.333381482016467e-05,645,0,0.0
edge,C0155765,46,0.00022148394241417498,645,0,0.0
edge,C0009760,14,6.740815638692282e-05,645,0,0.0
edge,C0948344,71,0.00034185565024796573,645,0,0.0
edge,C1519353,12,5.777841976021956e-05,645,0,0.0
edge,C0221201,17,8.185276132697771e-05,645,0,0.0
edge,C1112313,24,0.00011555683952043912,645,0,0.0
edge,C0008733,20,9.62973662670326e-05,645,0,0.0
edge,C0520863,117,0.0005633395926621407,645,0,0.0
edge,C0151610,35,0.00016852039096730705,645,0,0.0
edge,C0155966,227,0.00109297510713082,645,0,0.0
edge,C0151205,22,0.00010592710289373585,645,0,0.0
edge,C0264490,179,0.0008618614280899418,645,0,0.0
edge,C0936227,36,0.00017333525928065868,645,0,0.0
edge,C0277585,109,0.0005248206461553277,645,0,0.0
edge,C0025293,9,4.333381482016467e-05,645,0,0.0
edge,C0398370,1,4.81486831335163e-06,645,0,0.0
edge,C0264714,72,0.00034667051856131735,645,0,0.0
edge,C0948525,194,0.0009340844527902162,645,0,0.0
edge,C2830004,205,0.0009870480042370841,645,0,0.0
edge,C0008625,20,9.62973662670326e-05,645,0,0.0
edge,C0235437,9,4.333381482016467e-05,645,0,0.0
edge,C0039496,69,0.0003322259136212625,645,0,0.0
edge,C0853068,65,0.0003129664403678559,645,0,0.0
edge,C0015402,23,0.00011074197120708749,645,0,0.0
edge,C0239981,130,0.0006259328807357118,645,0,0.0
edge,C0155895,116,0.0005585247243487891,645,0,0.0
edge,C0520600,224,0.0010785305021907652,645,0,0.0
edge,C0919780,8,3.851894650681304e-05,645,0,0.0
edge,C0237849,171,0.0008233424815831288,645,0,0.0
edge,C2242501,7,3.370407819346141e-05,645,0,0.0
edge,C0023311,104,0.0005007463045885695,645,0,0.0
edge,C0017178,197,0.0009485290577302711,645,0,0.0
edge,C0849916,46,0.00022148394241417498,645,0,0.0
edge,C0042075,136,0.0006548220906158217,645,0,0.0
edge,C0021080,78,0.0003755597284414271,645,0,0.0
edge,C0854467,20,9.62973662670326e-05,645,0,0.0
edge,C1963789,7,3.370407819346141e-05,645,0,0.0
edge,C0021368,49,0.00023592854735422986,645,0,0.0
edge,C0019372,85,0.00040926380663488854,645,0,0.0
edge,C0241669,46,0.00022148394241417498,645,0,0.0
edge,C0233472,70,0.0003370407819346141,645,0,0.0
edge,C0278678,34,0.00016370552265395543,645,0,0.0
edge,C0031042,13,6.259328807357118e-05,645,0,0.0
edge,C0151578,52,0.00025037315229428474,645,0,0.0
edge,C0851341,102,0.0004911165679618662,645,0,0.0
edge,C0008370,42,0.00020222446916076846,645,0,0.0
edge,C0346156,16,7.703789301362607e-05,645,0,0.0
edge,C0241832,8,3.851894650681304e-05,645,0,0.0
edge,C0333472,34,0.00016370552265395543,645,0,0.0
edge,C0450027,71,0.00034185565024796573,645,0,0.0
edge,C0238106,150,0.0007222302470027445,645,0,0.0
edge,C0151878,160,0.0007703789301362608,645,0,0.0
edge,C0853117,52,0.00025037315229428474,645,0,0.0
edge,C0263970,53,0.00025518802060763636,645,0,0.0
edge,C0007131,57,0.0002744474938610429,645,0,0.0
edge,C0242698,180,0.0008666762964032933,645,0,0.0
edge,C1096131,62,0.00029852183542780105,645,0,0.0
edge,C0877322,111,0.0005344503827820309,645,0,0.0
edge,C0877248,107,0.0005151909095286244,645,0,0.0
edge,C0423791,68,0.00032741104530791085,645,0,0.0
edge,C0549253,22,0.00010592710289373585,645,0,0.0
edge,C0151609,7,3.370407819346141e-05,645,0,0.0
edge,C1328317,8,3.851894650681304e-05,645,0,0.0
edge,C0007222,48,0.00023111367904087824,645,0,0.0
edge,C0042790,25,0.00012037170783379074,645,0,0.0
edge,C0948374,80,0.0003851894650681304,645,0,0.0
edge,C0333355,176,0.0008474168231498868,645,0,0.0
edge,C0947846,170,0.0008185276132697771,645,0,0.0
edge,C1869056,8,3.851894650681304e-05,645,0,0.0
edge,C0151603,32,0.00015407578602725215,645,0,0.0
edge,C1112192,7,3.370407819346141e-05,645,0,0.0
edge,C0279025,7,3.370407819346141e-05,645,0,0.0
edge,C0020312,19,9.148249795368096e-05,645,0,0.0
edge,C2242704,5,2.407434156675815e-05,645,0,0.0
edge,C0206160,10,4.81486831335163e-05,645,0,0.0
edge,C0311468,38,0.00018296499590736193,645,0,0.0
edge,C0743400,4,1.925947325340652e-05,645,0,0.0
edge,C0919976,9,4.333381482016467e-05,645,0,0.0
edge,C0424091,191,0.0009196398478501613,645,0,0.0
edge,C1112564,13,6.259328807357118e-05,645,0,0.0
edge,C0234632,28,0.00013481631277384565,645,0,0.0
edge,C0277890,76,0.00036592999181472385,645,0,0.0
edge,C0238113,34,0.00016370552265395543,645,0,0.0
